age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
41,yes,travel_rarely,1102,sales,1,college,life_sciences,1,1,medium,female,94,high,2,sales_executive,very_high,single,5993,19479,8,y,yes,11,excellent,low,80,0,8,0,bad,6,4,0,5
49,no,travel_frequently,279,research_&_development,8,below_college,life_sciences,1,2,high,male,61,medium,2,research_scientist,medium,married,5130,24907,1,y,no,23,outstanding,very_high,80,1,10,3,better,10,7,1,7
37,yes,travel_rarely,1373,research_&_development,2,college,other,1,4,very_high,male,92,medium,1,laboratory_technician,high,single,2090,2396,6,y,yes,15,excellent,medium,80,0,7,3,better,0,0,0,0
33,no,travel_frequently,1392,research_&_development,3,master,life_sciences,1,5,very_high,female,56,high,1,research_scientist,high,married,2909,23159,1,y,yes,11,excellent,high,80,0,8,3,better,8,7,3,0
27,no,travel_rarely,591,research_&_development,2,below_college,medical,1,7,low,male,40,high,1,laboratory_technician,medium,married,3468,16632,9,y,no,12,excellent,very_high,80,1,6,3,better,2,2,2,2
32,no,travel_frequently,1005,research_&_development,2,college,life_sciences,1,8,very_high,male,79,high,1,laboratory_technician,very_high,single,3068,11864,0,y,no,13,excellent,high,80,0,8,2,good,7,7,3,6
59,no,travel_rarely,1324,research_&_development,3,bachelor,medical,1,10,high,female,81,very_high,1,laboratory_technician,low,married,2670,9964,4,y,yes,20,outstanding,low,80,3,12,3,good,1,0,0,0
30,no,travel_rarely,1358,research_&_development,24,below_college,life_sciences,1,11,very_high,male,67,high,1,laboratory_technician,high,divorced,2693,13335,1,y,no,22,outstanding,medium,80,1,1,2,better,1,0,0,0
38,no,travel_frequently,216,research_&_development,23,bachelor,life_sciences,1,12,very_high,male,44,medium,3,manufacturing_director,high,single,9526,8787,0,y,no,21,outstanding,medium,80,0,10,2,better,9,7,1,8
36,no,travel_rarely,1299,research_&_development,27,bachelor,medical,1,13,high,male,94,high,2,healthcare_representative,high,married,5237,16577,6,y,no,13,excellent,medium,80,2,17,3,good,7,7,7,7
35,no,travel_rarely,809,research_&_development,16,bachelor,medical,1,14,low,male,84,very_high,1,laboratory_technician,medium,married,2426,16479,0,y,no,13,excellent,high,80,1,6,5,better,5,4,0,3
29,no,travel_rarely,153,research_&_development,15,college,life_sciences,1,15,very_high,female,49,medium,2,laboratory_technician,high,single,4193,12682,0,y,yes,12,excellent,very_high,80,0,10,3,better,9,5,0,8
31,no,travel_rarely,670,research_&_development,26,below_college,life_sciences,1,16,low,male,31,high,1,research_scientist,high,divorced,2911,15170,1,y,no,17,excellent,very_high,80,1,5,1,good,5,2,4,3
34,no,travel_rarely,1346,research_&_development,19,college,medical,1,18,medium,male,93,high,1,laboratory_technician,very_high,divorced,2661,8758,0,y,no,11,excellent,high,80,1,3,2,better,2,2,1,2
28,yes,travel_rarely,103,research_&_development,24,bachelor,life_sciences,1,19,high,male,50,medium,1,laboratory_technician,high,single,2028,12947,5,y,yes,14,excellent,medium,80,0,6,4,better,4,2,0,3
29,no,travel_rarely,1389,research_&_development,21,master,life_sciences,1,20,medium,female,51,very_high,3,manufacturing_director,low,divorced,9980,10195,1,y,no,11,excellent,high,80,1,10,1,better,10,9,8,8
32,no,travel_rarely,334,research_&_development,5,college,life_sciences,1,21,low,male,80,very_high,1,research_scientist,medium,divorced,3298,15053,0,y,yes,12,excellent,very_high,80,2,7,5,good,6,2,0,5
